Invoices_h_r_id,Account_id,Emp_id,Date_d,Time_t,Total_total
2258,1697,22,21/05/2022,10:27:29 م,267
2259,1960,22,21/05/2022,10:27:55 م,315
2260,2142,0,21/05/2022,10:28:34 م,45
2261,314,22,21/05/2022,11:04:47 م,172.5
2273,733,23,22/05/2022,06:06:25 م,
2292,553,22,23/05/2022,03:23:39 م,263
2318,2105,22,24/05/2022,01:09:14 م,79
2274,733,23,22/05/2022,06:07:16 م,
2293,2097,15,23/05/2022,04:23:20 م,108.75
2319,438,23,24/05/2022,01:09:42 م,35.5
2275,733,23,22/05/2022,06:08:45 م,2085
2294,2097,15,23/05/2022,04:23:41 م,
2320,1177,1,24/05/2022,01:10:48 م,635
2276,1498,22,22/05/2022,06:15:50 م,1720
2321,210,1,24/05/2022,01:11:22 م,219
2277,2249,0,22/05/2022,06:41:53 م,25
2295,2097,15,23/05/2022,04:28:18 م,
2322,1311,1,24/05/2022,01:13:21 م,334
2296,2249,0,23/05/2022,04:49:22 م,59
2278,721,15,22/05/2022,08:04:21 م,390
2323,931,1,24/05/2022,01:47:07 م,177.5
2297,716,22,23/05/2022,04:54:51 م,541
2279,545,22,22/05/2022,08:07:47 م,1080
2324,931,1,24/05/2022,01:47:38 م,
2280,552,22,22/05/2022,08:09:34 م,283
2298,2116,22,23/05/2022,04:56:01 م,
2325,2158,22,24/05/2022,02:42:42 م,161
2281,1954,22,22/05/2022,08:19:28 م,382
2299,670,15,23/05/2022,05:39:08 م,265
2326,733,23,24/05/2022,04:04:09 م,172
2300,1495,15,23/05/2022,05:48:42 م,101
2282,651,15,22/05/2022,09:04:15 م,217
2301,1561,22,23/05/2022,06:01:03 م,771
2283,300,1,22/05/2022,09:12:59 م,2297.5
2302,1445,15,23/05/2022,06:20:52 م,77
2284,2316,1,22/05/2022,09:14:50 م,8300
2303,1487,15,23/05/2022,06:58:58 م,415.5
2304,1672,15,23/05/2022,07:37:30 م,290
2305,688,15,23/05/2022,07:46:38 م,
2306,688,15,23/05/2022,07:49:22 م,596
2327,2249,0,24/05/2022,04:13:17 م,
2307,276,15,23/05/2022,07:53:05 م,131
2328,2305,15,24/05/2022,04:20:08 م,304
2308,342,15,23/05/2022,07:54:01 م,160
2309,2070,23,23/05/2022,07:57:21 م,
2329,2305,15,24/05/2022,04:21:05 م,42
2310,2070,23,23/05/2022,08:04:29 م,126
2311,600,23,23/05/2022,08:28:06 م,2127
2330,2249,0,24/05/2022,05:31:30 م,950
2331,935,22,24/05/2022,05:37:37 م,
2332,935,22,24/05/2022,05:38:49 م,133.5
2333,144,,24/05/2022,05:49:05 م,
2334,601,23,24/05/2022,05:49:20 م,438
2312,320,1,23/05/2022,09:08:43 م,434
2335,935,22,24/05/2022,05:58:46 م,59.75
2313,2086,22,23/05/2022,09:09:52 م,1253.5
2336,1863,23,24/05/2022,06:02:26 م,420
2337,2097,15,24/05/2022,06:18:09 م,70
2314,2086,22,23/05/2022,09:11:05 م,1548
2338,2020,15,24/05/2022,06:54:35 م,440
2339,703,22,24/05/2022,06:56:02 م,257
2340,231,22,24/05/2022,06:56:35 م,674.5
